Table_Name,Column_Name
ScreeningResubmit,OSSiteID
ScreeningApplicantExtraXML,ID
ScreeningApplicantExtraXML,appID
ScreeningApplicantExtraXML,xmlTypeCode
ScreeningApplicantExtraXML,extraID
ScreeningApplicantExtraXML,xmlNode
ScreeningApplicantExtraXML,xmlCreateDate
ScreeningApplicantExtraXML,RECORDSTAMP
ScreeningApplicantExtraXML,OSSiteID
ScreeningSubmitLog,sslLogID
ScreeningSubmitLog,sslEntID
ScreeningSubmitLog,sslSiteID
ScreeningSubmitLog,sslUserID
ScreeningSubmitLog,sslTransactionID
ScreeningSubmitLog,sslApgID
ScreeningSubmitLog,sslService
ScreeningSubmitLog,sslTimeOut
ScreeningSubmitLog,sslStart
ScreeningSubmitLog,sslFinish
ScreeningSubmitLog,sslStatus
ScreeningSubmitLog,sslInsertDate
ScreeningSubmitLog,sslReason
ScreeningSubmitLog,RECORDSTAMP
ScreeningSubmitLog,OSSiteID
ScreeningServices,ID
ScreeningServices,ShortName
ScreeningServices,Name
ScreeningServices,CreatedDate
ScreeningServices,CreatedUserName
ScreeningServices,OSSiteID
ScreeningApplicantOverrideInfo,ID
ScreeningApplicantOverrideInfo,AppID
ScreeningApplicantOverrideInfo,AppGID
ScreeningApplicantOverrideInfo,ServiceId
ScreeningApplicantOverrideInfo,IsOverridden
ScreeningApplicantOverrideInfo,Reason
ScreeningApplicantOverrideInfo,CreatedDate
ScreeningApplicantOverrideInfo,CreatedUserName
ScreeningApplicantOverrideInfo,OSSiteID
ScreeningApplicantOverrideInfo,ScreeningServiceInfoID
ScreeningServiceInfo,ID
ScreeningServiceInfo,AppID
ScreeningServiceInfo,AppGID
ScreeningServiceInfo,ResmID
ScreeningServiceInfo,CustomerID
ScreeningServiceInfo,LeaseID
ScreeningServiceInfo,ConsumerID
ScreeningServiceInfo,TransactionID
ScreeningServiceInfo,ServiceName
ScreeningServiceInfo,ServiceStatus
ScreeningServiceInfo,ServiceResults
ScreeningServiceInfo,CreatedDate
ScreeningServiceInfo,CreatedUserName
ScreeningServiceInfo,ModifiedDate
ScreeningServiceInfo,ModifiedUserName
ScreeningServiceInfo,RecordStamp
ScreeningServiceInfo,OSSiteID
ScreeningServiceInfo,PreviousServiceResults
ScreeningServiceInfo,RetryCount
ScreeningConditions_ScoringModels,CondID
ScreeningConditions_ScoringModels,SModID
ScreeningConditions_ScoringModels,isRequired
ScreeningConditions_ScoringModels,isEnabled
ScreeningConditions_ScoringModels,RECORDSTAMP
ScreeningConditions_ScoringModels,OSSiteID
ScreeningGeneralInfo,sgiID
ScreeningGeneralInfo,sgiEquifaxCode
ScreeningGeneralInfo,sgiEquifaxPassword
ScreeningGeneralInfo,sgiExperianCode
