Table_Name,Column_Name
ScreeningResult,CTScoreCount
ScreeningResult,CTScoreResultCode
ScreeningResult,UpperRentLimit
ScreeningResult,LowerRentLimit
ScreeningResult,CYScoreCount
ScreeningResult,CYScoreResultCode
ScreeningResult,UseCriminal
ScreeningResult,RHScoreCount
ScreeningResult,RHScoreResultCode
ScreeningResult,AAOSScore
ScreeningResult,DIOSScore
ScreeningResult,RIOSScore
ScreeningResult,RHOSScore
ScreeningResult,RHDispOSScore
ScreeningResult,RHDepRetScore
ScreeningResult,RHLRScore
ScreeningResult,RHLFScore
ScreeningResult,RHPNScore
ScreeningResult,RCScoreCount
ScreeningResult,RCScoreResultCode
ScreeningResult,RPScoreCount
ScreeningResult,RPScoreResultCode
ScreeningResult,LFScoreCount
ScreeningResult,LFScoreResultCode
ScreeningResult,DFScoreCount
ScreeningResult,DFScoreResultCode
ScreeningResult,RRScoreCount
ScreeningResult,RRScoreResultCode
ScreeningResult,RECORDSTAMP
ScreeningResult,CreditBureau
ScreeningResult,CreditAddrDiscrep
ScreeningResult,CreditFraudAlert
ScreeningResult,CreditFrozenFile
ScreeningResult,CreditThinFile
ScreeningResult,CreditInputFraud
ScreeningResult,CreditOFAC
ScreeningResult,CommonOSS
ScreeningResult,AutoFails
ScreeningResult,CSScoreCount
ScreeningResult,CSScoreResultCode
ScreeningResult,BCScoreCount
ScreeningResult,BCScoreResultCode
ScreeningResult,RHProviderScoreCount
ScreeningResult,RHProviderResultCode
ScreeningResult,EFScoreCount
ScreeningResult,EFScoreResultCode
ScreeningResult,EJScoreCount
ScreeningResult,EJScoreResultCode
ScreeningResult,EDScoreCount
ScreeningResult,EDScoreResultCode
ScreeningResult,PQScoreCount
ScreeningResult,PQScoreResultCode
ScreeningResult,ELScoreCount
ScreeningResult,ELScoreResultCode
ScreeningResult,PrequalResult
ScreeningResult,NoSSNResultCode
ScreeningResult,COScoreCount
ScreeningResult,COScoreResultCode
ScreeningResult,IncomeUsed
ScreeningResult,RentUsed
ScreeningResult,RTIWeight
ScreeningResult,DTIWeight
ScreeningResult,FICOWeight
ScreeningResult,TradesWeight
ScreeningResult,RHWeight
ScreeningResult,CQScoreCount
ScreeningResult,CQScoreResultCode
ScreeningResult,IAScoreCount
ScreeningResult,IAScoreResultCode
ScreeningResult,OSSiteID
ScreeningResult,FNScoreCount
ScreeningResult,FNScoreResultCode
ScreeningResult,RentalVoucherAmountUsed
ScreeningApplicantXML,appID
ScreeningApplicantXML,xmlTypeCode
ScreeningApplicantXML,xmlNode
ScreeningApplicantXML,xmlCreateDate
ScreeningApplicantXML,RECORDSTAMP
ScreeningApplicantXML,OSSiteID
ScreeningApplicant,appID
ScreeningApplicant,apgID
ScreeningApplicant,appSequence
ScreeningApplicant,codeAppStatusCode
ScreeningApplicant,appFirstName
ScreeningApplicant,appMiddleName
ScreeningApplicant,appLastName
ScreeningApplicant,codeGenerationCode
ScreeningApplicant,codeIDTypeCode
ScreeningApplicant,appIDState
ScreeningApplicant,appIDNumber
ScreeningApplicant,appSSN
ScreeningApplicant,appBirthDate
ScreeningApplicant,appEmailAddress
ScreeningApplicant,appStreetNumber
ScreeningApplicant,appDirectionName
ScreeningApplicant,appStreetName
ScreeningApplicant,appStreetType
ScreeningApplicant,appApartmentNumber
ScreeningApplicant,appCityName
ScreeningApplicant,appState
ScreeningApplicant,appZip
ScreeningApplicant,appPhone
ScreeningApplicant,appWorkPhone
ScreeningApplicant,appTransmitUserID
ScreeningApplicant,appTransmitDate
ScreeningApplicant,appFelonyBit
ScreeningApplicant,appEvictionBit
ScreeningApplicant,TransactionID
ScreeningApplicant,ConvertedBit
ScreeningApplicant,CreateUserID
ScreeningApplicant,LastUserID
ScreeningApplicant,CreateDate
ScreeningApplicant,ModifyDate
ScreeningApplicant,apphideDOB
ScreeningApplicant,apphideQuestions
ScreeningApplicant,appMonthlyIncome
ScreeningApplicant,appOtherIncome
ScreeningApplicant,appAssets
ScreeningApplicant,Cosigner
ScreeningApplicant,Employed
ScreeningApplicant,EmploymentType
ScreeningApplicant,BeenBonded
ScreeningApplicant,BondDeniedOrLoss
ScreeningApplicant,RECORDSTAMP
ScreeningApplicant,SSNHash
ScreeningApplicant,IDNumberHash
ScreeningApplicant,SSNSuffix
ScreeningApplicant,appCountry
ScreeningApplicant,appAddress1
ScreeningApplicant,appAddress2
ScreeningApplicant,codeGenderCode
ScreeningApplicant,appRecommendationDate
ScreeningApplicant,appDUNS
ScreeningApplicant,appBusiness
ScreeningApplicant,appAtcID
ScreeningApplicant,appSmodID
ScreeningApplicant,appExternalID
ScreeningApplicant,CreditOptimizerTier
ScreeningApplicant,CreditDOB
ScreeningApplicant,CosignerID
ScreeningApplicant,SadID
ScreeningApplicant,IsTestCase
ScreeningApplicant,BureauSwap
ScreeningApplicant,IsBillable
ScreeningApplicant,AppcbMiddleName
ScreeningApplicant,appStateID
ScreeningApplicant,AppbIDNotUse
ScreeningApplicant,ReprocessFlag
ScreeningApplicant,NoPrevAddr
ScreeningApplicant,IsNSORUsed
ScreeningApplicant,BureauSwapAttempts
ScreeningApplicant,BureauSwapFileFreeze
ScreeningApplicant,IncomeCondition
ScreeningApplicant,IncomeAlertsUsed
ScreeningApplicant,AppNoSSN
ScreeningApplicant,appHCountry
ScreeningApplicant,appMCountry
ScreeningApplicant,appCellPhone
ScreeningApplicant,OSSiteID
ScreeningApplicant,IsMultiStepCriminalRun
ScreeningApplicant,RRDCopyRequired
ScreeningApplicant,IsCAWAAAgreed
ScreeningApplicant,IsCAWAAOverridden
ScreeningApplicant,CAWAAOverrideReason
ScreeningApplicant,CAWAAOverrideReasonIndex
ScreeningApplicant,VerifiedIncomeOverriddenDate
ScreeningApplicant,appVerifiedMonthlyIncome
ScreeningApplicant,IsVerifiedIncomeUsedForScoring
ScreeningApplicant,IsVerifiedIncomeOverridden
ScreeningApplicant,IncomeOverrideReason
ScreeningScoringModel,smodID
ScreeningScoringModel,smodParentID
ScreeningScoringModel,smodRateName
ScreeningScoringModel,smodRateDescription
ScreeningScoringModel,smodDisplayBit
ScreeningScoringModel,smodTradelineDuration
ScreeningScoringModel,smodMedical
ScreeningScoringModel,smodStudentLoan
ScreeningScoringModel,smodBankruptcy
ScreeningScoringModel,smodRentalCollections
ScreeningScoringModel,smodRealPageBit
ScreeningScoringModel,LastUserID
ScreeningScoringModel,ModifyDate
ScreeningScoringModel,smodFraudAlertIgnore
ScreeningScoringModel,OccupancyLevel
ScreeningScoringModel,smodFIUThreshold
ScreeningScoringModel,smodFILThreshold
ScreeningScoringModel,smodAAUThreshold
ScreeningScoringModel,smodAALThreshold
ScreeningScoringModel,smodRIUThreshold
ScreeningScoringModel,smodRILThreshold
ScreeningScoringModel,smodDIUThreshold
ScreeningScoringModel,smodDILThreshold
ScreeningScoringModel,smodCTSensitivity
ScreeningScoringModel,smodFISensitivity
